strategy,ARR,AVol,SR,MDD,CR,IR
EqualWeight(1/N),0.23114918459616995,0.20626115157121555,1.0085944445664445,-0.13709509491956717,1.686049998592464,0.0
BuyAndHold,0.21552526303651454,0.20044720385377585,0.9740814404118019,-0.13334643125733758,1.616280698360684,-0.6903371677214615
Random-topk,0.23190598642017846,0.23295906657945448,0.8956461132028105,-0.1452656552316125,1.5964268088725173,0.006994041005674703
Momentum-topk,0.2846663270493255,0.3293201257522438,0.7610332382226839,-0.2079453127630002,1.3689480338215936,0.2155272532918301
