strategy,ARR,AVol,SR,MDD,CR,IR
EqualWeight(1/N),0.14428147159139026,0.11639001906721483,1.1582861924009602,-0.06997845665349456,2.061798423274961,0.0
BuyAndHold,0.14171870355386273,0.11556431790434846,1.1471501098834995,-0.06999467960505534,2.0247067970524313,-0.24507752963223878
Random-topk,0.1530732639377823,0.12446607900558858,1.1446575729518365,-0.0683986980697775,2.2379558128668378,0.19260736787483881
Momentum-topk,-0.06709104272075428,0.15439111787531296,-0.4497544674358311,-0.10667567313496606,-0.6289254217863776,-2.352116757260526
