,ARR,AVol,SR,MDD,CR,IR
Expert-oracle,355.5704794422445,0.1469757348061562,40.45284590717807,-0.0015457855770364404,230025.7453067582,64.64972346161592
Expert-causal,-0.07889524928459624,0.1372808074168884,-0.5985404365731002,-0.13268025956983487,-0.5946268837608849,-2.651740039691685
