,ARR,AVol,SR,MDD,CR,IR
SmartFolio-HGAT-IRL (final),0.1743219035325471,0.1063382438117107,1.5116115896913649,-0.0740520113015626,2.354046844489537,0.5750169553609739
SmartFolio-HGAT-IRL (best-val),0.1116830851811334,0.1327148482550423,0.797931848213594,-0.0680585903194819,1.6409844026576017,-0.6835551706554284
SmartFolio-MLP-IRL (final),0.113363306780954,0.1215626309637202,0.883563664581902,-0.0726682516430731,1.560011479810525,-0.7152806674116686
SmartFolio-MLP-IRL (best-val),0.1353246152436948,0.109956264408117,1.1545552378774553,-0.0807000513691736,1.6768838798457943,-0.2140790676902676
EqualWeight(1/N),0.1442814715913902,0.1163900190672148,1.1582861924009602,-0.0699784566534945,2.061798423274961,0.0
BuyAndHold,0.1417187035538627,0.1155643179043484,1.1471501098834995,-0.0699946796050553,2.0247067970524317,-0.2450775296322387
Random-topk,0.1530732639377823,0.1244660790055885,1.1446575729518365,-0.0683986980697775,2.2379558128668378,0.1926073678748388
Momentum-topk,-0.0670910427207542,0.1543911178753129,-0.4497544674358311,-0.106675673134966,-0.6289254217863776,-2.352116757260526
